1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E00000041935F21
Is Mission Active?  true
Mission Start:  Mon Feb 07 08:01:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1489
Total Samples:  55238
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/9/22 3:01:00 PM,C,36
2/9/22 3:31:00 PM,C,36.5
2/9/22 4:01:00 PM,C,34.5
2/9/22 4:31:00 PM,C,28
2/9/22 5:01:00 PM,C,27
2/9/22 5:31:00 PM,C,26.5
2/9/22 6:01:00 PM,C,26
2/9/22 6:31:00 PM,C,25
2/9/22 7:01:00 PM,C,25
2/9/22 7:31:00 PM,C,25
2/9/22 8:01:00 PM,C,24.5
2/9/22 8:31:00 PM,C,24.5
2/9/22 9:01:00 PM,C,24.5
2/9/22 9:31:00 PM,C,23
2/9/22 10:01:00 PM,C,23
2/9/22 10:31:00 PM,C,22.5
2/9/22 11:01:00 PM,C,22
2/9/22 11:31:00 PM,C,22
2/10/22 12:01:00 AM,C,22
2/10/22 12:31:00 AM,C,21.5
2/10/22 1:01:00 AM,C,21.5
2/10/22 1:31:00 AM,C,21.5
2/10/22 2:01:00 AM,C,22
2/10/22 2:31:00 AM,C,22.5
2/10/22 3:01:00 AM,C,23
2/10/22 3:31:00 AM,C,23
2/10/22 4:01:00 AM,C,23.5
2/10/22 4:31:00 AM,C,23.5
2/10/22 5:01:00 AM,C,23
2/10/22 5:31:00 AM,C,23
2/10/22 6:01:00 AM,C,23.5
2/10/22 6:31:00 AM,C,23
2/10/22 7:01:00 AM,C,23
2/10/22 7:31:00 AM,C,23.5
2/10/22 8:01:00 AM,C,25
2/10/22 8:31:00 AM,C,27.5
2/10/22 9:01:00 AM,C,29
2/10/22 9:31:00 AM,C,30.5
2/10/22 10:01:00 AM,C,28
2/10/22 10:31:00 AM,C,31.5
2/10/22 11:01:00 AM,C,30
2/10/22 11:31:00 AM,C,36
2/10/22 12:01:00 PM,C,37
2/10/22 12:31:00 PM,C,37.5
2/10/22 1:01:00 PM,C,38.5
2/10/22 1:31:00 PM,C,39
2/10/22 2:01:00 PM,C,40.5
2/10/22 2:31:00 PM,C,37.5
2/10/22 3:01:00 PM,C,37
2/10/22 3:31:00 PM,C,31
2/10/22 4:01:00 PM,C,33
2/10/22 4:31:00 PM,C,28.5
2/10/22 5:01:00 PM,C,27
2/10/22 5:31:00 PM,C,26.5
2/10/22 6:01:00 PM,C,25.5
2/10/22 6:31:00 PM,C,25.5
2/10/22 7:01:00 PM,C,25
2/10/22 7:31:00 PM,C,25
2/10/22 8:01:00 PM,C,24.5
2/10/22 8:31:00 PM,C,24
2/10/22 9:01:00 PM,C,24
2/10/22 9:31:00 PM,C,24
2/10/22 10:01:00 PM,C,24
2/10/22 10:31:00 PM,C,24
2/10/22 11:01:00 PM,C,24.5
2/10/22 11:31:00 PM,C,24
2/11/22 12:01:00 AM,C,24.5
2/11/22 12:31:00 AM,C,24
2/11/22 1:01:00 AM,C,24
2/11/22 1:31:00 AM,C,23
2/11/22 2:01:00 AM,C,23
2/11/22 2:31:00 AM,C,23
2/11/22 3:01:00 AM,C,23.5
2/11/22 3:31:00 AM,C,23.5
2/11/22 4:01:00 AM,C,24
2/11/22 4:31:00 AM,C,24
2/11/22 5:01:00 AM,C,23
2/11/22 5:31:00 AM,C,22.5
2/11/22 6:01:00 AM,C,23.5
2/11/22 6:31:00 AM,C,23.5
2/11/22 7:01:00 AM,C,24.5
2/11/22 7:31:00 AM,C,25
2/11/22 8:01:00 AM,C,26
2/11/22 8:31:00 AM,C,26.5
2/11/22 9:01:00 AM,C,27.5
2/11/22 9:31:00 AM,C,30
2/11/22 10:01:00 AM,C,31
2/11/22 10:31:00 AM,C,32
2/11/22 11:01:00 AM,C,33
2/11/22 11:31:00 AM,C,34.5
2/11/22 12:01:00 PM,C,35
2/11/22 12:31:00 PM,C,35.5
2/11/22 1:01:00 PM,C,35.5
2/11/22 1:31:00 PM,C,36
2/11/22 2:01:00 PM,C,35.5
2/11/22 2:31:00 PM,C,36
2/11/22 3:01:00 PM,C,35
2/11/22 3:31:00 PM,C,34.5
2/11/22 4:01:00 PM,C,33.5
2/11/22 4:31:00 PM,C,28.5
2/11/22 5:01:00 PM,C,27
2/11/22 5:31:00 PM,C,26.5
2/11/22 6:01:00 PM,C,25.5
2/11/22 6:31:00 PM,C,25
2/11/22 7:01:00 PM,C,25
2/11/22 7:31:00 PM,C,24.5
2/11/22 8:01:00 PM,C,24.5
2/11/22 8:31:00 PM,C,24.5
2/11/22 9:01:00 PM,C,24.5
2/11/22 9:31:00 PM,C,24.5
2/11/22 10:01:00 PM,C,24.5
2/11/22 10:31:00 PM,C,24
2/11/22 11:01:00 PM,C,24
2/11/22 11:31:00 PM,C,24.5
2/12/22 12:01:00 AM,C,24
2/12/22 12:31:00 AM,C,24.5
2/12/22 1:01:00 AM,C,24
2/12/22 1:31:00 AM,C,24
2/12/22 2:01:00 AM,C,24
2/12/22 2:31:00 AM,C,22
2/12/22 3:01:00 AM,C,22.5
2/12/22 3:31:00 AM,C,22
2/12/22 4:01:00 AM,C,22.5
2/12/22 4:31:00 AM,C,22.5
2/12/22 5:01:00 AM,C,21.5
2/12/22 5:31:00 AM,C,22.5
2/12/22 6:01:00 AM,C,23
2/12/22 6:31:00 AM,C,23
2/12/22 7:01:00 AM,C,23
2/12/22 7:31:00 AM,C,23
2/12/22 8:01:00 AM,C,23.5
2/12/22 8:31:00 AM,C,25.5
2/12/22 9:01:00 AM,C,27.5
2/12/22 9:31:00 AM,C,28.5
2/12/22 10:01:00 AM,C,32.5
2/12/22 10:31:00 AM,C,34
2/12/22 11:01:00 AM,C,34.5
2/12/22 11:31:00 AM,C,36
2/12/22 12:01:00 PM,C,35.5
2/12/22 12:31:00 PM,C,35
2/12/22 1:01:00 PM,C,25
2/12/22 1:31:00 PM,C,27
2/12/22 2:01:00 PM,C,32
2/12/22 2:31:00 PM,C,23.5
2/12/22 3:01:00 PM,C,28.5
2/12/22 3:31:00 PM,C,28.5
2/12/22 4:01:00 PM,C,24
2/12/22 4:31:00 PM,C,24
2/12/22 5:01:00 PM,C,24.5
2/12/22 5:31:00 PM,C,24.5
2/12/22 6:01:00 PM,C,23.5
2/12/22 6:31:00 PM,C,23
2/12/22 7:01:00 PM,C,22.5
2/12/22 7:31:00 PM,C,22
2/12/22 8:01:00 PM,C,22.5
2/12/22 8:31:00 PM,C,23
2/12/22 9:01:00 PM,C,23
2/12/22 9:31:00 PM,C,22.5
2/12/22 10:01:00 PM,C,22
2/12/22 10:31:00 PM,C,22
2/12/22 11:01:00 PM,C,22.5
2/12/22 11:31:00 PM,C,23
2/13/22 12:01:00 AM,C,23.5
2/13/22 12:31:00 AM,C,23.5
2/13/22 1:01:00 AM,C,23.5
2/13/22 1:31:00 AM,C,22
2/13/22 2:01:00 AM,C,23
2/13/22 2:31:00 AM,C,22.5
2/13/22 3:01:00 AM,C,23
2/13/22 3:31:00 AM,C,23
2/13/22 4:01:00 AM,C,23.5
2/13/22 4:31:00 AM,C,23.5
2/13/22 5:01:00 AM,C,23
2/13/22 5:31:00 AM,C,22.5
2/13/22 6:01:00 AM,C,23
2/13/22 6:31:00 AM,C,23
2/13/22 7:01:00 AM,C,23.5
2/13/22 7:31:00 AM,C,23
2/13/22 8:01:00 AM,C,24.5
2/13/22 8:31:00 AM,C,25
2/13/22 9:01:00 AM,C,23
2/13/22 9:31:00 AM,C,28
2/13/22 10:01:00 AM,C,31.5
2/13/22 10:31:00 AM,C,33
2/13/22 11:01:00 AM,C,35.5
2/13/22 11:31:00 AM,C,33.5
2/13/22 12:01:00 PM,C,39
2/13/22 12:31:00 PM,C,34.5
2/13/22 1:01:00 PM,C,29
2/13/22 1:31:00 PM,C,25.5
2/13/22 2:01:00 PM,C,28
2/13/22 2:31:00 PM,C,38
2/13/22 3:01:00 PM,C,29
2/13/22 3:31:00 PM,C,26
2/13/22 4:01:00 PM,C,29.5
2/13/22 4:31:00 PM,C,28.5
2/13/22 5:01:00 PM,C,27.5
2/13/22 5:31:00 PM,C,26.5
2/13/22 6:01:00 PM,C,25.5
2/13/22 6:31:00 PM,C,24.5
2/13/22 7:01:00 PM,C,24.5
2/13/22 7:31:00 PM,C,24
2/13/22 8:01:00 PM,C,23.5
2/13/22 8:31:00 PM,C,23.5
2/13/22 9:01:00 PM,C,23.5
2/13/22 9:31:00 PM,C,23
2/13/22 10:01:00 PM,C,22
2/13/22 10:31:00 PM,C,24
2/13/22 11:01:00 PM,C,24
2/13/22 11:31:00 PM,C,24
2/14/22 12:01:00 AM,C,24
2/14/22 12:31:00 AM,C,24
2/14/22 1:01:00 AM,C,24
2/14/22 1:31:00 AM,C,23.5
2/14/22 2:01:00 AM,C,24
2/14/22 2:31:00 AM,C,24
2/14/22 3:01:00 AM,C,24
2/14/22 3:31:00 AM,C,23.5
2/14/22 4:01:00 AM,C,24
2/14/22 4:31:00 AM,C,24
2/14/22 5:01:00 AM,C,23.5
2/14/22 5:31:00 AM,C,23.5
2/14/22 6:01:00 AM,C,22.5
2/14/22 6:31:00 AM,C,22.5
2/14/22 7:01:00 AM,C,23
2/14/22 7:31:00 AM,C,23.5
2/14/22 8:01:00 AM,C,25.5
2/14/22 8:31:00 AM,C,26
2/14/22 9:01:00 AM,C,29
2/14/22 9:31:00 AM,C,30
2/14/22 10:01:00 AM,C,31.5
2/14/22 10:31:00 AM,C,34
2/14/22 11:01:00 AM,C,35.5
2/14/22 11:31:00 AM,C,38.5
2/14/22 12:01:00 PM,C,39
2/14/22 12:31:00 PM,C,40
2/14/22 1:01:00 PM,C,39.5
2/14/22 1:31:00 PM,C,39.5
2/14/22 2:01:00 PM,C,41
2/14/22 2:31:00 PM,C,40
2/14/22 3:01:00 PM,C,38.5
2/14/22 3:31:00 PM,C,35.5
2/14/22 4:01:00 PM,C,35
2/14/22 4:31:00 PM,C,28.5
2/14/22 5:01:00 PM,C,28
2/14/22 5:31:00 PM,C,27
2/14/22 6:01:00 PM,C,26
2/14/22 6:31:00 PM,C,24.5
2/14/22 7:01:00 PM,C,23.5
2/14/22 7:31:00 PM,C,23
2/14/22 8:01:00 PM,C,23
2/14/22 8:31:00 PM,C,23.5
2/14/22 9:01:00 PM,C,23
2/14/22 9:31:00 PM,C,23.5
2/14/22 10:01:00 PM,C,24
2/14/22 10:31:00 PM,C,24
2/14/22 11:01:00 PM,C,23.5
2/14/22 11:31:00 PM,C,23.5
2/15/22 12:01:00 AM,C,22.5
2/15/22 12:31:00 AM,C,23
2/15/22 1:01:00 AM,C,22.5
2/15/22 1:31:00 AM,C,22
2/15/22 2:01:00 AM,C,22
2/15/22 2:31:00 AM,C,23
2/15/22 3:01:00 AM,C,23.5
2/15/22 3:31:00 AM,C,23
2/15/22 4:01:00 AM,C,22
2/15/22 4:31:00 AM,C,21
2/15/22 5:01:00 AM,C,21
2/15/22 5:31:00 AM,C,20.5
2/15/22 6:01:00 AM,C,20.5
2/15/22 6:31:00 AM,C,21
2/15/22 7:01:00 AM,C,20.5
2/15/22 7:31:00 AM,C,21.5
2/15/22 8:01:00 AM,C,24
2/15/22 8:31:00 AM,C,27
2/15/22 9:01:00 AM,C,29.5
2/15/22 9:31:00 AM,C,30.5
2/15/22 10:01:00 AM,C,31
2/15/22 10:31:00 AM,C,34
2/15/22 11:01:00 AM,C,35.5
2/15/22 11:31:00 AM,C,36.5
2/15/22 12:01:00 PM,C,37.5
2/15/22 12:31:00 PM,C,39.5
2/15/22 1:01:00 PM,C,39.5
2/15/22 1:31:00 PM,C,40
2/15/22 2:01:00 PM,C,39
2/15/22 2:31:00 PM,C,39.5
2/15/22 3:01:00 PM,C,37.5
2/15/22 3:31:00 PM,C,36.5
2/15/22 4:01:00 PM,C,35.5
2/15/22 4:31:00 PM,C,25.5
2/15/22 5:01:00 PM,C,25
2/15/22 5:31:00 PM,C,26
2/15/22 6:01:00 PM,C,25.5
2/15/22 6:31:00 PM,C,25
2/15/22 7:01:00 PM,C,24.5
2/15/22 7:31:00 PM,C,24.5
2/15/22 8:01:00 PM,C,24
2/15/22 8:31:00 PM,C,24
2/15/22 9:01:00 PM,C,24
2/15/22 9:31:00 PM,C,24
2/15/22 10:01:00 PM,C,24
2/15/22 10:31:00 PM,C,24.5
2/15/22 11:01:00 PM,C,24
2/15/22 11:31:00 PM,C,24
2/16/22 12:01:00 AM,C,23.5
2/16/22 12:31:00 AM,C,24
2/16/22 1:01:00 AM,C,23.5
2/16/22 1:31:00 AM,C,23.5
2/16/22 2:01:00 AM,C,23.5
2/16/22 2:31:00 AM,C,23.5
2/16/22 3:01:00 AM,C,23.5
2/16/22 3:31:00 AM,C,24
2/16/22 4:01:00 AM,C,23
2/16/22 4:31:00 AM,C,23
2/16/22 5:01:00 AM,C,23
2/16/22 5:31:00 AM,C,23
2/16/22 6:01:00 AM,C,22.5
2/16/22 6:31:00 AM,C,23
2/16/22 7:01:00 AM,C,23
2/16/22 7:31:00 AM,C,23.5
2/16/22 8:01:00 AM,C,24.5
2/16/22 8:31:00 AM,C,26.5
2/16/22 9:01:00 AM,C,26.5
2/16/22 9:31:00 AM,C,27.5
2/16/22 10:01:00 AM,C,28
2/16/22 10:31:00 AM,C,32.5
2/16/22 11:01:00 AM,C,33.5
2/16/22 11:31:00 AM,C,34.5
2/16/22 12:01:00 PM,C,34.5
2/16/22 12:31:00 PM,C,29.5
2/16/22 1:01:00 PM,C,29.5
2/16/22 1:31:00 PM,C,36
2/16/22 2:01:00 PM,C,36.5
2/16/22 2:31:00 PM,C,36
2/16/22 3:01:00 PM,C,36
2/16/22 3:31:00 PM,C,34
2/16/22 4:01:00 PM,C,32.5
2/16/22 4:31:00 PM,C,29
2/16/22 5:01:00 PM,C,27.5
2/16/22 5:31:00 PM,C,26.5
2/16/22 6:01:00 PM,C,26.5
2/16/22 6:31:00 PM,C,25.5
2/16/22 7:01:00 PM,C,25.5
2/16/22 7:31:00 PM,C,25.5
2/16/22 8:01:00 PM,C,25
2/16/22 8:31:00 PM,C,25.5
2/16/22 9:01:00 PM,C,25
2/16/22 9:31:00 PM,C,25
2/16/22 10:01:00 PM,C,25
2/16/22 10:31:00 PM,C,24.5
2/16/22 11:01:00 PM,C,25
2/16/22 11:31:00 PM,C,24.5
2/17/22 12:01:00 AM,C,24.5
2/17/22 12:31:00 AM,C,24.5
2/17/22 1:01:00 AM,C,24.5
2/17/22 1:31:00 AM,C,24.5
2/17/22 2:01:00 AM,C,24
2/17/22 2:31:00 AM,C,24
2/17/22 3:01:00 AM,C,24.5
2/17/22 3:31:00 AM,C,24.5
2/17/22 4:01:00 AM,C,24.5
2/17/22 4:31:00 AM,C,24.5
2/17/22 5:01:00 AM,C,24.5
2/17/22 5:31:00 AM,C,24.5
2/17/22 6:01:00 AM,C,24
2/17/22 6:31:00 AM,C,24
2/17/22 7:01:00 AM,C,23.5
2/17/22 7:31:00 AM,C,24
2/17/22 8:01:00 AM,C,26.5
2/17/22 8:31:00 AM,C,28
2/17/22 9:01:00 AM,C,28.5
2/17/22 9:31:00 AM,C,31
2/17/22 10:01:00 AM,C,33
2/17/22 10:31:00 AM,C,33.5
2/17/22 11:01:00 AM,C,34.5
2/17/22 11:31:00 AM,C,36
2/17/22 12:01:00 PM,C,37
2/17/22 12:31:00 PM,C,39
2/17/22 1:01:00 PM,C,40
2/17/22 1:31:00 PM,C,38.5
2/17/22 2:01:00 PM,C,39
2/17/22 2:31:00 PM,C,35
2/17/22 3:01:00 PM,C,36
2/17/22 3:31:00 PM,C,30.5
2/17/22 4:01:00 PM,C,33.5
2/17/22 4:31:00 PM,C,29
2/17/22 5:01:00 PM,C,27.5
2/17/22 5:31:00 PM,C,26.5
2/17/22 6:01:00 PM,C,26
2/17/22 6:31:00 PM,C,25
2/17/22 7:01:00 PM,C,25
2/17/22 7:31:00 PM,C,24.5
2/17/22 8:01:00 PM,C,24.5
2/17/22 8:31:00 PM,C,24.5
2/17/22 9:01:00 PM,C,24
2/17/22 9:31:00 PM,C,24.5
2/17/22 10:01:00 PM,C,23.5
2/17/22 10:31:00 PM,C,23.5
2/17/22 11:01:00 PM,C,23.5
2/17/22 11:31:00 PM,C,24
2/18/22 12:01:00 AM,C,24
2/18/22 12:31:00 AM,C,24
2/18/22 1:01:00 AM,C,24
2/18/22 1:31:00 AM,C,23.5
2/18/22 2:01:00 AM,C,23.5
2/18/22 2:31:00 AM,C,23.5
2/18/22 3:01:00 AM,C,23.5
2/18/22 3:31:00 AM,C,22.5
2/18/22 4:01:00 AM,C,22.5
2/18/22 4:31:00 AM,C,22.5
2/18/22 5:01:00 AM,C,22
2/18/22 5:31:00 AM,C,22
2/18/22 6:01:00 AM,C,21
2/18/22 6:31:00 AM,C,22
2/18/22 7:01:00 AM,C,22.5
2/18/22 7:31:00 AM,C,22.5
2/18/22 8:01:00 AM,C,23
2/18/22 8:31:00 AM,C,24.5
2/18/22 9:01:00 AM,C,26.5
2/18/22 9:31:00 AM,C,28
2/18/22 10:01:00 AM,C,30
2/18/22 10:31:00 AM,C,33.5
2/18/22 11:01:00 AM,C,36
2/18/22 11:31:00 AM,C,35
2/18/22 12:01:00 PM,C,35.5
2/18/22 12:31:00 PM,C,35
2/18/22 1:01:00 PM,C,36.5
2/18/22 1:31:00 PM,C,31.5
2/18/22 2:01:00 PM,C,32
2/18/22 2:31:00 PM,C,36
2/18/22 3:01:00 PM,C,37
2/18/22 3:31:00 PM,C,32.5
2/18/22 4:01:00 PM,C,31
2/18/22 4:31:00 PM,C,28.5
2/18/22 5:01:00 PM,C,28
2/18/22 5:31:00 PM,C,27
2/18/22 6:01:00 PM,C,26
2/18/22 6:31:00 PM,C,25
2/18/22 7:01:00 PM,C,24
2/18/22 7:31:00 PM,C,23
2/18/22 8:01:00 PM,C,23
2/18/22 8:31:00 PM,C,22.5
2/18/22 9:01:00 PM,C,22.5
2/18/22 9:31:00 PM,C,23
2/18/22 10:01:00 PM,C,24.5
2/18/22 10:31:00 PM,C,24.5
2/18/22 11:01:00 PM,C,24
2/18/22 11:31:00 PM,C,24
2/19/22 12:01:00 AM,C,24
2/19/22 12:31:00 AM,C,23.5
2/19/22 1:01:00 AM,C,23.5
2/19/22 1:31:00 AM,C,23.5
2/19/22 2:01:00 AM,C,24
2/19/22 2:31:00 AM,C,23.5
2/19/22 3:01:00 AM,C,23
2/19/22 3:31:00 AM,C,22
2/19/22 4:01:00 AM,C,23
2/19/22 4:31:00 AM,C,23
2/19/22 5:01:00 AM,C,23.5
2/19/22 5:31:00 AM,C,22.5
2/19/22 6:01:00 AM,C,21.5
2/19/22 6:31:00 AM,C,22
2/19/22 7:01:00 AM,C,22
2/19/22 7:31:00 AM,C,23
2/19/22 8:01:00 AM,C,25.5
2/19/22 8:31:00 AM,C,26
2/19/22 9:01:00 AM,C,27
2/19/22 9:31:00 AM,C,31
2/19/22 10:01:00 AM,C,32
2/19/22 10:31:00 AM,C,35
2/19/22 11:01:00 AM,C,36.5
2/19/22 11:31:00 AM,C,36.5
2/19/22 12:01:00 PM,C,38.5
2/19/22 12:31:00 PM,C,38
2/19/22 1:01:00 PM,C,38.5
2/19/22 1:31:00 PM,C,39.5
2/19/22 2:01:00 PM,C,39.5
2/19/22 2:31:00 PM,C,35.5
2/19/22 3:01:00 PM,C,38.5
2/19/22 3:31:00 PM,C,35
2/19/22 4:01:00 PM,C,36
2/19/22 4:31:00 PM,C,31
2/19/22 5:01:00 PM,C,28.5
2/19/22 5:31:00 PM,C,27
2/19/22 6:01:00 PM,C,27
2/19/22 6:31:00 PM,C,25
2/19/22 7:01:00 PM,C,24.5
2/19/22 7:31:00 PM,C,24.5
2/19/22 8:01:00 PM,C,24
2/19/22 8:31:00 PM,C,23
2/19/22 9:01:00 PM,C,23
2/19/22 9:31:00 PM,C,22.5
2/19/22 10:01:00 PM,C,22.5
2/19/22 10:31:00 PM,C,22
2/19/22 11:01:00 PM,C,22
2/19/22 11:31:00 PM,C,21.5
2/20/22 12:01:00 AM,C,22
2/20/22 12:31:00 AM,C,22
2/20/22 1:01:00 AM,C,21.5
2/20/22 1:31:00 AM,C,21
2/20/22 2:01:00 AM,C,21
2/20/22 2:31:00 AM,C,20.5
2/20/22 3:01:00 AM,C,20.5
2/20/22 3:31:00 AM,C,21
2/20/22 4:01:00 AM,C,21
2/20/22 4:31:00 AM,C,21.5
2/20/22 5:01:00 AM,C,22
2/20/22 5:31:00 AM,C,21.5
2/20/22 6:01:00 AM,C,20.5
2/20/22 6:31:00 AM,C,20.5
2/20/22 7:01:00 AM,C,21
2/20/22 7:31:00 AM,C,23
2/20/22 8:01:00 AM,C,24
2/20/22 8:31:00 AM,C,25
2/20/22 9:01:00 AM,C,26
2/20/22 9:31:00 AM,C,32.5
2/20/22 10:01:00 AM,C,31
2/20/22 10:31:00 AM,C,34
2/20/22 11:01:00 AM,C,34
2/20/22 11:31:00 AM,C,34.5
2/20/22 12:01:00 PM,C,36
2/20/22 12:31:00 PM,C,36.5
2/20/22 1:01:00 PM,C,38.5
2/20/22 1:31:00 PM,C,38
2/20/22 2:01:00 PM,C,40
2/20/22 2:31:00 PM,C,38.5
2/20/22 3:01:00 PM,C,38.5
2/20/22 3:31:00 PM,C,37.5
2/20/22 4:01:00 PM,C,36
2/20/22 4:31:00 PM,C,31.5
2/20/22 5:01:00 PM,C,28.5
2/20/22 5:31:00 PM,C,27.5
2/20/22 6:01:00 PM,C,27
2/20/22 6:31:00 PM,C,25
2/20/22 7:01:00 PM,C,24.5
2/20/22 7:31:00 PM,C,24
2/20/22 8:01:00 PM,C,24
2/20/22 8:31:00 PM,C,24.5
2/20/22 9:01:00 PM,C,24.5
2/20/22 9:31:00 PM,C,24
2/20/22 10:01:00 PM,C,24
2/20/22 10:31:00 PM,C,24
2/20/22 11:01:00 PM,C,24
2/20/22 11:31:00 PM,C,24
2/21/22 12:01:00 AM,C,24
2/21/22 12:31:00 AM,C,23.5
2/21/22 1:01:00 AM,C,23.5
2/21/22 1:31:00 AM,C,24
2/21/22 2:01:00 AM,C,22
2/21/22 2:31:00 AM,C,22
2/21/22 3:01:00 AM,C,22
2/21/22 3:31:00 AM,C,22.5
2/21/22 4:01:00 AM,C,22.5
2/21/22 4:31:00 AM,C,22.5
2/21/22 5:01:00 AM,C,22.5
2/21/22 5:31:00 AM,C,22.5
2/21/22 6:01:00 AM,C,22.5
2/21/22 6:31:00 AM,C,22.5
2/21/22 7:01:00 AM,C,22.5
2/21/22 7:31:00 AM,C,23.5
2/21/22 8:01:00 AM,C,25
2/21/22 8:31:00 AM,C,26
2/21/22 9:01:00 AM,C,26.5
